class_name,display_name,category,bin_type,action,tip,journey,points,warning,color_tag
battery,Battery,Hazardous Waste,Red / E-waste Collection Bin,Do not throw in normal dustbin. Store safely and give to an e-waste collection point.,Batteries can leak harmful chemicals if mixed with household waste.,Collected safely;Sent to authorized e-waste center;Metals are recovered;Toxic leakage is prevented,15,High safety alert: keep away from fire and water.,Hazardous
biological,Biological Waste,Wet / Organic Waste,Green Bin,Dispose in wet waste or composting unit if safe.,Organic waste can become compost and reduce landfill smell.,Collected in wet bin;Sent to composting unit;Converted into compost;Used for soil improvement,8,Do not mix with dry recyclable waste.,Organic
brown-glass,Brown Glass,Recyclable Waste,Blue / Glass Recycling Bin,Handle carefully and place in recyclable glass bin.,Glass can be recycled many times without major quality loss.,Sorted by color;Crushed into cullet;Melted in furnace;Made into new glass products,10,Wrap broken glass before disposal to avoid injury.,Recyclable
cardboard,Cardboard,Recyclable Waste,Blue / Dry Waste Bin,Flatten and keep dry before recycling.,Dry cardboard has higher recycling value.,Collected dry;Sorted and baled;Pulped;Converted into packaging material,8,Do not mix wet or food-stained cardboard.,Recyclable
clothes,Clothes,Reusable / Textile Waste,Donation / Textile Collection Bin,Donate if usable or send to textile recycling.,"Old clothes can be reused, upcycled, or converted into fibers.",Collected separately;Sorted by condition;Donated or shredded;Reused as textile fiber,12,Do not throw usable clothes into general trash.,Reusable
green-glass,Green Glass,Recyclable Waste,Blue / Glass Recycling Bin,Place carefully in glass recycling bin.,Separate glass improves recycling efficiency.,Sorted by color;Crushed into cullet;Melted;Made into bottles or jars,10,Handle broken glass safely.,Recyclable
metal,Metal,Recyclable Waste,Blue / Metal Recycling Bin,Rinse containers and place in dry recycling bin.,Metal recycling saves energy compared to producing new metal.,Collected dry;Magnetically sorted;Melted;Converted into new metal products,12,Sharp metal edges should be covered.,Recyclable
paper,Paper,Recyclable Waste,Blue / Paper Recycling Bin,Keep paper clean and dry before recycling.,Paper recycling reduces tree usage and landfill volume.,Collected dry;Sorted by grade;Pulped;Made into recycled paper,8,Food-stained paper should go to wet/general waste.,Recyclable
plastic,Plastic,Recyclable Waste,Blue / Dry Waste Bin,Empty and rinse before disposal.,Clean plastic is easier to recycle and reuse.,Collected from dry bin;Sorted by plastic type;Shredded into flakes;Reused for products or fibers,10,Avoid burning plastic because it releases harmful fumes.,Recyclable
shoes,Shoes,Reusable / Mixed Waste,Donation / Textile Collection Bin,Donate usable shoes or send damaged pairs to recycling where available.,Shoes can be reused by others if still wearable.,Collected separately;Checked for reuse;Donated or processed;Materials recovered,10,Do not mix reusable items with wet waste.,Reusable
trash,General Trash,Residual Waste,Black / General Waste Bin,Dispose as residual waste if it cannot be reused or recycled.,Reduce trash by choosing reusable products when possible.,Collected as residual waste;Sent for processing;Non-recyclables handled safely;Landfill load monitored,2,Try to avoid mixing recyclable items with trash.,Residual
white-glass,White Glass,Recyclable Waste,Blue / Glass Recycling Bin,Place in glass recycling bin and handle safely.,Clear glass is highly recyclable when kept separate.,Sorted by color;Crushed into cullet;Melted;Made into new clear glass products,10,Wrap sharp broken pieces before disposal.,Recyclable
food,Food Waste,Wet / Organic Waste,Green Bin,Dispose in wet waste bin or composting unit.,Food waste can become compost instead of producing landfill methane.,Collected in green bin;Composted;Converted into nutrient-rich compost;Used for plants,8,Keep away from dry recyclables.,Organic
e-waste,E-Waste,Hazardous Waste,Red / E-waste Collection Bin,Give to authorized e-waste collection centers.,Electronics contain valuable metals and harmful substances.,Collected separately;Sent to certified recycler;Components separated;Metals recovered safely,15,Do not dismantle electronics without proper safety.,Hazardous
